Zip Code,2019 House Mean,2019 Dec House Price,Social Studies Mean,Social Studies Median
34212,368131.5,368283.8333333333,83.0,83.0
34221,236540.0,236892.0,71.71428571428571,77.0
34223,273048.5,273522.0833333333,83.0,83.0
34224,206738.5,205932.91666666666,76.0,76.0
34229,474222.5,474493.25,100.0,100.0
34231,263367.0,263667.9166666667,78.0,78.0
34232,244520.0,245080.5,88.0,88.0
34233,292060.0,292791.3333333333,93.5,93.5
34234,177839.5,178276.33333333334,72.0,72.0
34236,851032.5,851679.8333333334,86.0,86.0
34237,212446.5,213148.83333333334,81.0,81.0
34238,409621.0,409841.3333333333,95.0,95.0
34239,306405.5,306852.3333333333,83.5,83.5
34266,115125.5,115054.41666666667,53.0,53.0
34275,346387.5,346804.9166666667,97.0,97.0
34285,344241.0,344635.0833333333,89.66666666666667,88.0
34289,240683.0,241067.91666666666,80.5,80.5
34291,216677.5,216907.33333333334,74.0,74.0
34292,337849.0,337984.9166666667,85.0,85.0
34420,142370.5,141735.5,76.0,76.0
34428,165377.5,165714.66666666666,66.0,66.0
34431,150163.5,150107.41666666666,64.0,64.0
34432,184270.5,183620.91666666666,69.0,69.0
34434,153899.5,153719.83333333334,89.0,89.0
34450,149004.0,148748.83333333334,79.0,79.0
34452,135811.0,135577.83333333334,78.0,78.0
34461,200418.5,200357.08333333334,78.0,78.0
34470,140846.0,140612.0,66.0,66.0
34471,201905.0,201353.83333333334,74.0,74.0
34472,142835.0,142446.5,65.5,65.5
34473,161918.0,161156.0,57.0,57.0
34475,105816.0,105649.83333333333,70.5,70.5
34476,191616.5,191002.83333333334,75.0,75.0
34480,193434.0,192880.91666666666,73.0,73.0
34481,167576.0,166924.41666666666,81.0,81.0
34491,200265.5,199707.33333333334,57.0,57.0
34498,167250.5,167714.75,93.0,93.0
34601,155971.0,156820.0,58.0,58.0
34604,199580.0,199940.08333333334,73.0,73.0
34606,158858.0,159406.25,73.0,73.0
34608,168711.5,169346.16666666666,85.0,85.0
34609,191266.5,191669.91666666666,86.0,83.0
34610,210570.0,211505.58333333334,70.0,67.0
34613,182535.0,182794.16666666666,69.0,69.0
34614,203703.0,204297.33333333334,73.0,73.0
34638,265597.0,266398.5833333333,76.0,75.0
34639,260558.0,261179.91666666666,91.0,91.0
34652,130731.0,131309.91666666666,62.0,62.0
34653,144055.0,144421.58333333334,71.5,71.5
